2081670,vankynam,10:20,3 weeks,This excellent construction machine is very INCREDIBLE. Modern concrete paving machines technology
301097711,,8:09,10 years,Eminem - Stan (Long Version) ft. Dido
6813442,AmericasGotTalent,9:38,2 days,Golden Buzzer: 10-Year-Old Roberta Battaglia Sings Lady Gaga&#39;s &quot;Shallow&quot; - America&#39;s Got Talent 2020
1986790,bgfilms,12:00,1 day,Mac &amp; Cheese | Basics with Babish
631746,DukeWoodcarving,9:32,10 hours,I Turn a Large Rusty Nail into a Beautiful little Sword
429386,DrawWithJazza,16:42,12 hours,I Found the WORLD&#39;S BEST MARKER - I Tried them ALL...
762621,ESPN,6:59,1 day,Stephen A. reacts to Drew Brees’ comments about ‘disrespecting the flag,’ apology | First Take
1591314,julienolke,4:40,1 day,Explaining the Pandemic to my Past Self Part 2
782340,01032010814,12:42,1 day,What Happens When You Use TOO MUCH Laundry Detergent?
1371359,,2:06,1 day,Rosalía - La Llorona (live)
4504514,Mnet,4:27,1 day,[TWICE - MORE &amp; MORE] Comeback Stage | M COUNTDOWN 200604 EP.668
1016593,,20:44,1 day,Skip and Shannon react to Drew Brees&#39; comments about protesting during national anthem | UNDISPUTED
1066264,,25:16,1 day,Reacting to KSI Reacting to My Review
332038,,3:31,1 day,Kane Brown - Worldwide Beautiful (Lyric Video)
592342,FoxNewsChannel,52:58,Streamed 10 hours,President Trump holds news conference
1587083,,3:48,1 day,Machine Gun Kelly - Killing in the Name (Rage Against the Machine cover)
1860295,,3:59,1 day,BTS Jungkook - Still With You lyrics (Eng/Rom/Han/가사)
7476,,4:29,2 hours,Exploring the odds of a second coronavirus wave
548840,TheNewYorkTimes,7:04,12 hours,Funeral Homes in Mexico Show Coronavirus’ Hidden Death Toll | Coronavirus News
429415,ABCNews,2:56,11 hours,New coronavirus spikes in California, Arizona, Utah l ABC News
2751,CBSEveningNews,2:07,2 hours,Unemployed African Americans feel the impact of coronavirus
257698,CBSThisMorning,3:48,13 hours,Concerns grow over possible spike in coronavirus cases as states open and protests continue
27616,,48:55,Streamed 9 hours,LIVE: New York Governor Cuomo delivers update amid coronavirus and protests
276172,,6:29,8 hours,Dr. Anthony Fauci: Coronavirus pandemic has exposed inequities in America&#39;s health-care system
15989,TheNewYorkTimes,4:06,5 hours,Amazon Warehouses Are Still Seeing Coronavirus Outbreaks. Why Did They End Hazard Pay? | NYT Opinion
111433,NBCNews,1:02:28,Streamed 10 hours,NYC Mayor Bill De Blasio Holds Briefing Amid George Floyd Protests, Coronavirus | NBC News
7034554,,10:46,1 year,Biggest Flops in NFL History
4159441,,14:35,1 year,Longest 4th Down Conversions in NFL History (17+ yards)
15453887,,9:55,1 year,NFL &quot;Bad Sportsmanship&quot; Moments
85770,,13:51,4 days,Smartest Plays in NFL History
2239530,,9:58,4 months,NFL Hilarious Moments of the 2020 Playoffs
1591080,NFL,2:06:12,2 months,Super Bowl 54 FULL Game: Kansas City Chiefs vs. San Francisco 49ers
3492184,,15:53,6 months,Dirtiest Cheap Shots in Football History ᴴᴰ
844786,,2:34,3 weeks,Nick Barnes 4.14 40 yard dash video goes viral
270565,,2:47,1 week,Pat McAfee Reacts To Jadeveon Clowney &quot;Turning Down Big Offer From Browns&quot; Report
175964,,18:06,1 week,Jerry Jones is going to extreme depths to paint Dak as greedy &amp; selfish — Shannon | NFL | UNDISPUTED
204765,,12:34,1 week,With Baker Mayfield&#39;s new mentality, he&#39;ll overcome his sophomore slump — Shannon | NFL | UNDISPUTED
561694,ESPN,7:02,3 days,First Take reacts to Joe Lockhart saying it&#39;s time for an NFL team to sign Colin Kaepernick
111471,RandomGaminCrew,12:07,1 day,IF YOU CAN GUESS THE AUCTION PRICE YOU CAN DRAFT THEM.. (Impossible?)
646869,ESPN,4:11,1 week,DeAndre Hopkins responds to Michael Thomas claiming he&#39;s the NFL&#39;s best WR | Jalen &amp; Jacoby
239743,,13:54,1 week,Pat McAfee Breaks Down The NFL&#39;s Rule Changes And What They Mean For The Game
2120633,,4:59,2 days,Roberta Battaglia: 10-Year-Old Canadian Girl With SHOCKING Voice! Sofia Vergara&#39;s GOLDEN BUZZER! 🇨🇦
3019312,MountainDoooYT,10:11,6 days,Playing Guitar on Omegle but I pretend I&#39;m a beginner 2
120755,historychannel,45:36,6 days,Modern Marvels: The Manhattan Project - Full Episode (S9, E21) | History
178662,,5:28,1 day,What If Spinosaurs Were Still Swimming Today?
2229977,,11:29,1 day,the boys go to the fair
929452,sonnysidevideos,20:46,2 days,Traditional Nigerian Food!! Cheap Vs Expensive!!
1299787,,47:58,10 hours,Ertugrul Ghazi Urdu | Episode 34 | Season 1
457420,,45:27,4 days,Ridiculousnessly Popular Animal Videos 😺 #AloneTogether
1988043,MTV2,1:28:36,5 days,Wild ‘N In w/ Your Faves: Season 13 SUPER COMPILATION | #AloneTogether
22961937,MrBeast6000,15:52,6 days,I Spent 50 Hours In Solitary Confinement
1077499,KitchenNightmares,3:27,6 days,Gordon Has No Idea How To Eat MASSIVE Meatball Sub | Kitchen Nightmares
5174016,,17:24,2 days,You wouldn’t expect that today’s video is called &quot;The Life of Potato&quot;! 你们都没想到这期的视频标题会叫“土豆的一生”吧！
1967235,,6:25,6 days,SpaceX just launched humans to space for the first time
241430,,32:26,3 days,We Made Strawberry Lemonade Hard Candy For The First Time Ever!
1740663,SSundee,19:03,1 day,BUILDING A MAX LEVEL MARS TYCOON BASE (Fortnite)
47988,,0:31,3 hours,Dear Class of 2020 | Watch June 7
263040,,7:13,1 month,Dear Class of 2020...
64754,SPatelProductions,2:28,2 months,To the Class of 2020
2142703,,3:45,2 months,Dear Class Of 2020
844947,hitrecord,13:48,1 week,Let’s Make Art for the Class of 2020
30125,,5:14,2 months,TO THE CLASS OF 2020 | Cailyn Tripp
192217,officialstephcurry30,10:08,1 month,Stephen Curry&#39;s Commencement Speech for the Class of 2020
123715,TheEllenShow,8:31,1 month,Ellen Celebrates the Class of 2020 with a Commencement Speech from Home
6196,UCF,8:16,1 month,Shaquill and Shaquem Griffin Deliver UCF Virtual Commencement Speech
52026,,2:56,2 months,To the Senior Class of 2020
62340,TonyRobbinsLive,16:50,3 weeks,A Message to the Class of 2020 | Tony Robbins
260734,,2:51,3 weeks,A Message for the Graduation Class of 2020 | The Daily Social Distancing Show
31539721,MrBeast6000,13:32,11 months,Tipping Waitresses With Real Gold Bars
35361779,MrBeast6000,13:10,3 months,I Ate A $70,000 Golden Pizza
36660073,MrBeast6000,15:43,1 year,Giant Monopoly Game With Real Money
7834669,MrBeast6000,10:04,3 years,Microwaving A Microwave
25567584,MrBeast6000,14:38,1 year,I Spent 24 Hours Straight In Slime
24317536,MrBeast6000,14:59,2 months,I Ran A Marathon In The World&#39;s Largest Shoes
36343294,MrBeast6000,16:57,6 months,Last To Fall Wins $1,000,000 (Part 1)
43377077,MrBeast6000,13:02,6 months,I Ordered Pizza And Tipped The House
46797197,MrBeast6000,20:00,2 months,Anything You Can Fit In The Circle I’ll Pay For
62390091,MrBeast6000,16:56,1 year,I Bought Everything In A Store - Challenge
22961937,MrBeast6000,15:52,6 days,I Spent 50 Hours In Solitary Confinement
42961722,MrBeast6000,15:25,5 months,Last To Take Hand Off $1,000,000 Keeps It
15930245,MrBeast6000,12:29,2 months,This is $1,000,000 in Food
13139472,MrBeast6000,16:32,4 weeks,I Gave $200,000 To People Who Lost Their Jobs (Corona Virus)
26174144,MrBeast6000,14:50,5 months,I Am Santa Claus
5336220,,7:28,2 months,Tasty Yellow Noodle Fried Eggs Recipe / Kdeb Cooking
24546351,,10:26,2 months,18+ Chocolate Cake Hacks | Most Satisfying Chocolate Cake Decorating Ideas | So Yummy Cake Recipes
31990168,MegatoadStonie,8:06,1 year,1620 Pocky Challenge (15,300 Cals)
3531279,,10:48,2 months,Can This Chef Make Flamin&#39; Hot Cheetos Fancy? • Tasty
5436962,,29:38,2 months,Camping &amp; Fishing on Floating Cabin Built From Scratch (My Quarantine Bug Out Cabin)
3710419,bgfilms,8:41,1 week,Binging with Babish: Buttered Noodles from Community
2534967,sonnysidevideos,21:44,1 week,Eating in Africa’s Biggest Floating Slum!! Seafood Factories!!
14613554,gordonramsay,42:28,9 months,Gordon Is Blown Away By Small Indian Restaurants Performance &amp; Food | Ramsay&#39;s Best Restaurant
5174016,,17:24,2 days,You wouldn’t expect that today’s video is called &quot;The Life of Potato&quot;! 你们都没想到这期的视频标题会叫“土豆的一生”吧！
5583609,,12:25,5 months,Cooking Lobster on Rock Recipe - Cook Shrimp eat with hot Chili Sauce
241430,,32:26,3 days,We Made Strawberry Lemonade Hard Candy For The First Time Ever!
603206,epicuriousdotcom,17:44,2 days,4 Levels of Banana Bread: Amateur to Food Scientist | Epicurious
279395,,15:15,1 day,BIZARRE Pizzas of Asia!!! What Was Domino&#39;s Thinking??
1047942,BonAppetitDotCom,22:37,1 day,Pro Chefs Read BA YouTube Comments | Test Kitchen Talks @ Home | Bon Appétit
437944,Maangchi,12:07,1 week,Korean BBQ grilled beef (Soegogi-gui: 쇠고기구이)
